date,pix_total,pix_cloud_free,pix_veg,pix_valid,pct_cloud_free,pct_veg,pct_valid,pct_stressed,stress_mean,stress_p90,ndvi_mean,ndvi_median,ndvi_std,ndvi_p10,ndvi_p90,ndmi_mean,ndmi_median,ndmi_std,ndmi_p10,ndmi_p90,ndre_mean,ndre_median,ndre_std,ndre_p10,ndre_p90,aoi_id,T2M,T2M_MAX,T2M_MIN,PRECTOTCORR,RH2M,WS2M,rain_7d_sum,rain_14d_sum,t2m_7d_mean,t2m_14d_mean,tmax_7d_mean,rh2m_7d_mean,ws2m_7d_mean,y_7,y_14
2024-01-21,49280,49280,11254,11254,1.0,0.22836850649350648,0.22836850649350648,0.9896925537586636,0.6233692169189453,0.7763962745666504,0.327355295419693,0.3206607699394226,0.05222296342253685,0.26350170373916626,0.40024805068969727,0.07172548025846481,0.06921780854463577,0.056143566966056824,0.002893248572945595,0.1443311870098114,0.2190110683441162,0.21542435884475708,0.05366066098213196,0.15267635881900787,0.2909071743488312,india_1,24.3,32.88,16.95,0.0,55.99,2.07,0.0,2.88,23.225714285714286,22.767142857142858,31.822857142857142,60.92857142857143,1.9685714285714284,,0.6361318826675415
2024-02-10,49280,49272,10447,10447,0.9998376623376624,0.2119926948051948,0.2119926948051948,0.982387288216713,0.6361318826675415,0.7957795858383179,0.3224056363105774,0.313007116317749,0.06176332011818886,0.2568788230419159,0.4072760045528412,0.06554903090000153,0.06105991080403328,0.06151793152093887,-0.008290079422295094,0.14495645463466644,0.21336030960083008,0.2097264528274536,0.05906827375292778,0.14137940108776093,0.2917047142982483,india_1,24.8,33.97,17.78,0.0,54.69,3.65,0.0,0.0,24.82857142857143,24.641428571428573,34.931428571428576,50.52428571428571,2.9842857142857144,0.6252420544624329,0.6252420544624329
2024-02-20,49280,49280,7461,7461,1.0,0.15140016233766235,0.15140016233766235,0.983514274225975,0.6252420544624329,0.7665673494338989,0.31686848402023315,0.3023744225502014,0.05659249424934387,0.2580060064792633,0.4010397493839264,0.08012168109416962,0.07433279603719711,0.056828953325748444,0.013598527759313583,0.1579446792602539,0.2075817584991455,0.20117074251174927,0.04996371269226074,0.14957544207572937,0.27530014514923096,india_1,25.94,34.54,18.28,0.0,47.8,2.22,0.0,0.0,24.807142857142857,24.677142857142858,34.42285714285715,47.061428571428564,2.935714285714286,0.5923905372619629,0.5923905372619629
2024-03-01,49280,49280,9753,9753,1.0,0.1979099025974026,0.1979099025974026,0.948631190402953,0.5923905372619629,0.7676032185554504,0.33957749605178833,0.32371047139167786,0.0703033059835434,0.2613210380077362,0.4463232755661011,0.09225530177354813,0.08469752222299576,0.06757761538028717,0.01169520989060402,0.1883537471294403,0.2222030609846115,0.21368740499019623,0.060836657881736755,0.15151512622833252,0.31009411811828613,india_1,25.11,34.77,15.4,0.0,44.27,3.58,0.0,0.0,26.21142857142857,26.099285714285713,35.23428571428572,47.902857142857144,3.5614285714285714,0.5744836330413818,0.5744836330413818
2024-03-11,49280,49280,9732,9732,1.0,0.19748376623376623,0.19748376623376623,0.934956843403206,0.5744836330413818,0.7533619403839111,0.33845633268356323,0.3217187225818634,0.06891457736492157,0.26240450143814087,0.4421583116054535,0.1012871190905571,0.09290964901447296,0.06770989298820496,0.020552054047584534,0.19780367612838745,0.22799086570739746,0.21811145544052124,0.0616266243159771,0.1568857878446579,0.31744900345802307,india_1,27.71,35.42,19.88,0.0,46.56,2.87,0.0,0.0,28.03142857142857,27.082142857142856,36.18,38.034285714285716,2.4057142857142857,0.5640983581542969,0.5640983581542969
2024-03-21,49280,49280,12177,12177,1.0,0.2470982142857143,0.2470982142857143,0.9041635870904163,0.5640983581542969,0.7712452411651611,0.3658789098262787,0.3505595028400421,0.08801428228616714,0.2648853063583374,0.4951534867286682,0.0960189625620842,0.08688574284315109,0.0742986798286438,0.007032964378595352,0.2019408494234085,0.24252280592918396,0.23137523233890533,0.07630416005849838,0.15283237397670746,0.351267009973526,india_1,27.62,35.74,20.56,0.0,48.86,3.24,0.0,0.0,28.107142857142858,28.22214285714286,36.32,39.13142857142857,2.8842857142857143,0.5710362195968628,0.5710362195968628
2024-03-31,49280,41446,10155,10155,0.8410308441558442,0.20606737012987014,0.20606737012987014,0.9146233382570162,0.5710362195968628,0.7731388211250305,0.35840266942977905,0.34359538555145264,0.08539021760225296,0.2613583207130432,0.48147085309028625,0.0934554934501648,0.0849958285689354,0.07115393131971359,0.008850902318954468,0.19426067173480988,0.23950664699077606,0.2281055599451065,0.07428514212369919,0.15303489565849304,0.3461863398551941,india_1,28.01,38.02,17.99,0.0,34.86,2.46,0.0,0.0,28.361428571428572,28.222857142857144,38.082857142857144,32.35857142857143,3.198571428571429,,0.5676749348640442
2024-04-20,49280,35040,9682,9682,0.711038961038961,0.19646915584415584,0.19646915584415584,0.9033257591406734,0.5676749348640442,0.7780839800834656,0.36711642146110535,0.3553793430328369,0.0890054777264595,0.2625125050544739,0.49342378973960876,0.09139938652515411,0.08319859206676483,0.0733892172574997,0.0029667560011148453,0.19594354927539825,0.24454079568386078,0.23386505246162415,0.07781500369310379,0.15245074033737183,0.355709969997406,india_1,32.29,38.78,26.13,0.0,35.34,2.61,0.0,0.09,30.95571428571429,30.179285714285715,38.88285714285714,38.98714285714285,2.86,0.5985077023506165,0.5985077023506165
2024-04-30,49280,46810,9644,9644,0.9498782467532467,0.19569805194805195,0.19569805194805195,0.9808170883450851,0.5985077023506165,0.7564237117767334,0.33613210916519165,0.3276401162147522,0.061129532754421234,0.263035386800766,0.42427393794059753,0.08685246109962463,0.08166489005088806,0.05397101119160652,0.02057342603802681,0.16299360990524292,0.22386667132377625,0.21753941476345062,0.05565566569566727,0.15682274103164673,0.3018287420272827,india_1,31.18,40.78,21.06,0.0,33.28,2.7,0.0,0.0,30.648571428571426,31.132142857142856,39.339999999999996,35.137142857142855,3.0214285714285714,,
2024-05-30,49280,49280,13891,13891,1.0,0.2818790584415584,0.2818790584415584,0.9360737167950471,0.5319043397903442,0.7103066444396973,0.3583449721336365,0.35578423738479614,0.06921687722206116,0.2672215402126312,0.4533955156803131,0.11657778918743134,0.1131611093878746,0.05714587867259979,0.045407168567180634,0.19503693282604218,0.24808332324028015,0.24344022572040558,0.0606105774641037,0.17152103781700134,0.3323262631893158,india_1,26.81,32.78,22.09,4.17,73.37,2.95,5.9399999999999995,47.290000000000006,26.212857142857143,26.208571428571428,32.16571428571429,71.73285714285714,3.9785714285714286,,
2024-10-27,49280,29502,6823,6823,0.5986607142857143,0.13845373376623377,0.13845373376623377,0.9618935951927304,0.5584301352500916,0.7423302531242371,0.3530920445919037,0.34920936822891235,0.06816429644823074,0.2664579153060913,0.4477772116661072,0.09916724264621735,0.0979292020201683,0.06370119005441666,0.020549966022372246,0.1772918403148651,0.24487268924713135,0.23942701518535614,0.06280826777219772,0.16685698926448822,0.3334573805332184,india_1,21.66,25.86,18.26,0.03,85.42,1.8,47.75,133.04,22.987142857142857,22.831428571428575,27.66142857142857,83.74857142857142,1.2114285714285715,0.5315322279930115,0.5315322279930115
2024-11-06,49280,49252,17128,17128,0.9994318181818181,0.3475649350649351,0.3475649350649351,0.9016230733302195,0.5315322279930115,0.7509861588478088,0.36926209926605225,0.3702159523963928,0.08711229264736176,0.2610710859298706,0.4811386168003082,0.10629507899284363,0.10417179763317108,0.0704052522778511,0.01886865682899952,0.19485335052013397,0.2590089440345764,0.2563220262527466,0.0780850425362587,0.15951962769031525,0.36372971534729004,india_1,22.01,27.82,17.36,0.0,81.61,1.93,7.180000000000001,13.370000000000001,22.66142857142857,22.726428571428567,27.648571428571426,84.27714285714286,1.8171428571428572,,
2024-12-06,49280,49228,16411,16411,0.9989448051948052,0.33301542207792206,0.33301542207792206,0.9315093534824204,0.5606672167778015,0.7735099792480469,0.3549027144908905,0.3531312942504883,0.08518682420253754,0.25615862011909485,0.4577544033527374,0.09493105858564377,0.09137827157974243,0.07649068534374237,0.005581135395914316,0.1812865287065506,0.2469092160463333,0.24346403777599335,0.07735832780599594,0.15118905901908875,0.3449883759021759,india_1,22.22,28.15,18.29,0.49,82.87,1.4,91.23,93.36,22.15857142857143,21.599285714285713,26.11714285714286,89.06142857142856,3.0957142857142856,,
